,nb_children,nb_adults,type,size
777,1,2,two_parent_family,3
778,2,2,two_parent_family,4
779,2,2,two_parent_family,4
780,2,2,two_parent_family,4
781,1,2,two_parent_family,3
782,1,2,two_parent_family,3
783,0,3,two_parent_family,3
784,0,3,two_parent_family,3
785,1,2,two_parent_family,3
786,1,2,two_parent_family,3
787,1,3,two_parent_family,4
788,1,3,two_parent_family,4
789,2,2,two_parent_family,4
790,1,2,two_parent_family,3
791,2,2,two_parent_family,4
792,2,2,two_parent_family,4
793,2,2,two_parent_family,4
794,1,2,two_parent_family,3
795,1,2,two_parent_family,3
796,1,3,two_parent_family,4
797,2,2,two_parent_family,4
798,2,2,two_parent_family,4
799,9,2,two_parent_family,11
800,1,2,two_parent_family,3
801,2,2,two_parent_family,4
802,1,2,two_parent_family,3
803,1,2,two_parent_family,3
804,1,2,two_parent_family,3
805,1,2,two_parent_family,3
806,1,2,two_parent_family,3
807,0,3,two_parent_family,3
808,2,2,two_parent_family,4
809,0,3,two_parent_family,3
810,1,3,two_parent_family,4
811,0,4,two_parent_family,4
812,3,3,two_parent_family,6
813,1,2,two_parent_family,3
814,5,2,two_parent_family,7
815,3,2,two_parent_family,5
816,1,2,two_parent_family,3
817,3,2,two_parent_family,5
818,0,4,two_parent_family,4
819,4,2,two_parent_family,6
820,1,2,two_parent_family,3
821,1,2,two_parent_family,3
822,3,2,two_parent_family,5
823,0,3,two_parent_family,3
824,1,2,two_parent_family,3
825,1,3,two_parent_family,4
826,11,2,two_parent_family,13
827,1,2,two_parent_family,3
828,2,2,two_parent_family,4
829,2,2,two_parent_family,4
830,2,2,two_parent_family,4
831,1,2,two_parent_family,3
832,4,2,two_parent_family,6
833,3,2,two_parent_family,5
834,2,2,two_parent_family,4
835,1,2,two_parent_family,3
836,1,2,two_parent_family,3
837,0,3,two_parent_family,3
838,1,2,two_parent_family,3
839,1,2,two_parent_family,3
840,2,2,two_parent_family,4
841,0,5,two_parent_family,5
842,0,4,two_parent_family,4
843,1,2,two_parent_family,3
844,0,3,two_parent_family,3
845,0,4,two_parent_family,4
846,0,5,two_parent_family,5
847,3,2,two_parent_family,5
848,1,3,two_parent_family,4
849,1,2,two_parent_family,3
850,1,4,two_parent_family,5
851,0,3,two_parent_family,3
852,5,2,two_parent_family,7
853,1,2,two_parent_family,3
854,2,2,two_parent_family,4
855,3,2,two_parent_family,5
856,1,2,two_parent_family,3
857,1,2,two_parent_family,3
858,1,2,two_parent_family,3
859,0,4,two_parent_family,4
860,1,2,two_parent_family,3
861,1,2,two_parent_family,3
862,4,2,two_parent_family,6
863,3,2,two_parent_family,5
864,2,2,two_parent_family,4
865,0,3,two_parent_family,3
866,1,5,two_parent_family,6
867,0,3,two_parent_family,3
868,1,2,two_parent_family,3
869,1,2,two_parent_family,3
870,1,2,two_parent_family,3
871,0,4,two_parent_family,4
872,0,3,two_parent_family,3
873,2,2,two_parent_family,4
874,0,3,two_parent_family,3
875,0,3,two_parent_family,3
876,3,2,two_parent_family,5
877,0,3,two_parent_family,3
878,4,2,two_parent_family,6
879,2,5,two_parent_family,7
880,0,3,two_parent_family,3
881,0,3,two_parent_family,3
882,1,2,two_parent_family,3
883,3,2,two_parent_family,5
884,1,3,two_parent_family,4
885,1,2,two_parent_family,3
886,0,3,two_parent_family,3
887,2,2,two_parent_family,4
888,2,2,two_parent_family,4
889,1,2,two_parent_family,3
890,2,2,two_parent_family,4
891,1,2,two_parent_family,3
892,1,2,two_parent_family,3
893,1,2,two_parent_family,3
894,4,2,two_parent_family,6
895,0,4,two_parent_family,4
896,1,2,two_parent_family,3
897,0,3,two_parent_family,3
898,0,3,two_parent_family,3
899,2,2,two_parent_family,4
900,1,2,two_parent_family,3
901,2,2,two_parent_family,4
902,1,2,two_parent_family,3
903,0,4,two_parent_family,4
904,4,2,two_parent_family,6
905,2,2,two_parent_family,4
906,1,3,two_parent_family,4
907,0,3,two_parent_family,3
908,2,2,two_parent_family,4
909,1,3,two_parent_family,4
910,2,2,two_parent_family,4
911,2,2,two_parent_family,4
912,3,2,two_parent_family,5
913,1,2,two_parent_family,3
914,1,4,two_parent_family,5
915,0,3,two_parent_family,3
916,1,2,two_parent_family,3
917,1,3,two_parent_family,4
918,1,2,two_parent_family,3
919,1,2,two_parent_family,3
920,0,4,two_parent_family,4
921,1,2,two_parent_family,3
922,1,2,two_parent_family,3
923,1,2,two_parent_family,3
924,1,2,two_parent_family,3
925,0,3,two_parent_family,3
926,1,2,two_parent_family,3
927,1,2,two_parent_family,3
928,1,2,two_parent_family,3
929,0,3,two_parent_family,3
930,2,2,two_parent_family,4
